Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Cargo Type Code,Cargo Aircraft Type,Predicted Cargo Metric TONS - Linear Regression,Predicted Cargo Metric TONS - RF,Predicted Cargo Metric TONS - GB
201411,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Mail,Passenger,-69.83810046882445,8.008112951999994,64.44437849082294
201911,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Enplaned,Cargo,Passenger,225.26016474984885,143.09838950400007,207.37546978242815
200610,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Mail,Passenger,-85.88300618025414,52.649020871999994,-20.81818521233731
200810,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Mail,Passenger,-9.594478707562303,15.718061015999986,-5.515452978669902
201803,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Cargo,Passenger,699.5886712405993,1118.2559748780013,646.6204127402854
200605,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Express,Passenger,99.07023661213543,4.171160447999995,64.06094963469272
201511,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Enplaned,Express,Passenger,24.2507737141716,4.650828839999994,34.55453020725881
201308,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Cargo,Passenger,205.18498436409163,293.9575438799995,145.72956897012347
200608,US Airways,US,US Airways,US,Domestic,US,Enplaned,Mail,Passenger,-48.119670141504,150.4520438399999,100.62125314956153
200604,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Cargo,Passenger,315.68971220676804,482.3491362480002,205.8770451660645
201808,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Mail,Passenger,534.7268315000283,312.39656078399963,325.402804355453
200907,ABX Air,GB,ABX Air,GB,Domestic,US,Enplaned,Cargo,Freighter,762.4635455101179,791.0771616720001,736.0664412161192
201904,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Cargo,Passenger,201.51818043208982,181.49097103200006,167.11761617350396
201203,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Cargo,Passenger,294.43882272310816,164.27049609599982,205.8770451660645
201007,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Mail,Passenger,15.800708171615497,3.753902879999998,-3.0032198811835307
201604,"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM,International,Central America,Deplaned,Cargo,Passenger,28.099259583451385,1.8490913279999983,78.4259264265406
201708,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Cargo,Passenger,306.040978515437,183.87762825600018,227.265092369445
202007,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Mail,Passenger,209.40963433510115,160.33103906400024,161.87395632110847
200509,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Express,Passenger,137.2653950417439,221.58473853600023,60.98872767364475
200711,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Mail,Passenger,79.00510495664412,7.119909720000006,38.66551347351178
201701,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Express,Passenger,567.941105478232,1.4092762319999994,311.6023391622773
200605,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Cargo,Passenger,294.187831209528,85.08798446399996,122.38177644335632
201001,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Mail,Passenger,15.83762230515913,4.154272919999996,-3.0032198811835307
201805,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Mail,Passenger,-85.28699749560133,9.881535383999992,66.7249165215058
201107,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Mail,Passenger,144.14697237210112,69.78603794400004,67.29687800337874
200701,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Cargo,Passenger,220.7285348813475,265.0719193919998,188.49965567653405
201205,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Mail,Freighter,113.32746021082585,4.331036303999998,72.3361924230323
201101,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Deplaned,Cargo,Passenger,189.51163369536744,27.691096103999993,202.80482320501653
201704,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Cargo,Passenger,771.3929816833803,1984.666902130001,584.7975843708821
200607,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Enplaned,Express,Passenger,83.19166137467278,7.188834239999997,166.30569963881624
201904,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Mail,Passenger,58.52235476992837,44.755541711999975,60.053560676892275
201110,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Express,Passenger,-81.64556738217811,0.21190377599999966,43.50451287943838
201601,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Express,Passenger,568.5563410372927,0.5186598479999995,298.74655569174615
200512,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Cargo,Passenger,252.55585535825708,45.119378807999965,203.36481206857812
201206,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Cargo,Passenger,121.23413975304379,34.38246722400003,155.75609228840617
200701,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Mail,Freighter,179.596001640846,16.568121024000014,72.3361924230323
201204,Swiss International,LX,Swiss International,LX,International,Europe,Deplaned,Cargo,Passenger,221.87217448081788,110.80097179199987,188.49965567653405
201011,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Express,Passenger,83.1081692789428,3.4003987919999963,61.54871653720636
201004,"TACA International Airlines, S.A.",TA,"TACA International Airlines, S.A.",TA,International,Central America,Deplaned,Cargo,Passenger,25.42237901301405,0.6797967119999998,69.72656726417037
200811,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Express,Passenger,62.84291175541489,1.1688183359999997,-5.200132119277148
201912,Air India Limited,AI,Air India Limited,AI,International,Asia,Enplaned,Cargo,Passenger,135.01043736186307,95.41861560000002,224.7528592719586
200704,Northwest Airlines (became Delta),NW,Northwest Airlines (became Delta),NW,International,Asia,Deplaned,Mail,Passenger,30.475224353578596,87.71085388800002,38.66551347351178
201504,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Mail,Passenger,98.58782929908102,274.5748802160004,157.49046989919967
201305,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Deplaned,Cargo,Freighter,1325.5592242300986,413.2634884640001,901.2670031743056
200901,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Deplaned,Cargo,Passenger,138.65763451043472,79.50308889600001,202.80482320501653
201506,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Cargo,Freighter,374.10910731050967,229.94580218399972,433.88598969620915
200705,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Mail,Passenger,146.62021931952518,100.55960459999991,103.13487433855384
201406,Swiss International,LX,Swiss International,LX,International,Europe,Deplaned,Cargo,Passenger,220.62939865151498,122.2459348319998,197.0319194093834
201205,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Cargo,Passenger,353.7183797985567,263.2885229519998,284.829848737836
201310,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Cargo,Freighter,348.7077680757409,793.0033649760002,422.84149286587353
201309,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Express,Passenger,-57.62753080808011,6.928159392000007,-42.579811639963495
200607,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Cargo,Passenger,298.10562665511,246.47796633599984,205.8770451660645
201703,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Mail,Passenger,-66.00032991026,19.41378062399999,3.0820950885295404
200603,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Mail,Passenger,244.65474251484147,263.67760742400003,330.3719003715048
201102,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Cargo,Passenger,477.6110222770574,453.13927394399934,325.5295100541494
201304,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Mail,Passenger,99.81830041720241,189.11116980000025,148.95820616635032
200609,China Cargo Airlines,CK,China Cargo Airlines,CK,International,Asia,Deplaned,Cargo,Freighter,234.11755963636097,310.3906191119998,413.24671397372407
200707,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Cargo,Passenger,164.43430187760873,20.300736455999978,203.36481206857812
201307,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Mail,Passenger,-75.28341667868449,2.2755479040000033,36.153280376025414
200908,Emirates,EK,Emirates,EK,International,Middle East,Deplaned,Mail,Passenger,-68.93981637014372,6.0465560400000005,-3.1135022938366297
201211,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Cargo,Passenger,298.8122423961479,194.12646623999998,205.8770451660645
201803,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Enplaned,Mail,Passenger,-10.101686048294368,21.561703632000018,40.16393808987547
201606,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Cargo,Passenger,474.51023505939133,136.5335455680001,270.1934791901108
200902,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Express,Passenger,-28.516321152175124,2.7371176559999975,-40.06757854247713
202011,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Express,Passenger,-61.94648443268602,5.90572231200001,-39.34082500984946
201606,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Express,Freighter,222.90483584406184,10.319082479999997,198.4402013700709
201302,Air France,AF,Air France,AF,International,Europe,Deplaned,Cargo,Passenger,240.36611021840918,270.0211943519999,188.49965567653405
200803,Air China,CA,Air China,CA,International,Asia,Enplaned,Express,Passenger,19.82554496051671,1.2641423760000006,61.54871653720636
200702,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Enplaned,Express,Passenger,97.09078468590542,17.912614104000014,316.1742496673875
200705,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Mail,Freighter,143.01083893665714,5.469617663999998,74.84842552051867
201804,Compass Airlines,CP,American Airlines,AA,Domestic,US,Enplaned,Cargo,Passenger,67.26024581845968,0.25607987999999987,159.78337716853196
201706,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Express,Passenger,78.83228214347082,9.105611759999997,64.7877031673204
201412,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Cargo,Passenger,378.29680911889477,489.53911809599987,320.41702115474305
200508,Kitty Hawk Air Cargo,KR,Kitty Hawk Air Cargo,KR,Domestic,US,Enplaned,Cargo,Freighter,315.45701240119274,816.3462922899997,419.7692709048256
200907,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Cargo,Combi,414.1166299919771,176.5760426639998,389.2370627057947
200701,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Cargo,Freighter,379.06175356094855,241.62720422399963,425.35372596335986
200909,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Enplaned,Express,Passenger,261.4489401638418,469.2697435439995,524.8374536431558
201906,Federal Express,FX,Federal Express,FX,Domestic,US,Enplaned,Cargo,Freighter,1998.6526039823682,2131.8481271699984,1277.53841214272
200801,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Cargo,Freighter,437.49770213899,192.01350218400003,335.4907416526468
200601,Northwest Airlines (became Delta),NW,Northwest Airlines (became Delta),NW,International,Asia,Deplaned,Mail,Passenger,31.108916979411106,61.800314687999986,38.66551347351178
200607,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Cargo,Passenger,98.3121998212896,47.781997200000006,153.24385919091978
201808,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Mail,Passenger,6.2316835420933785,31.909712183999964,60.053560676892275
200903,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Cargo,Passenger,298.4688718951195,321.38498952000003,211.82508191829714
201809,Compass Airlines,CP,American Airlines,AA,Domestic,US,Deplaned,Mail,Passenger,-142.18962023089443,0.2696243760000001,89.24159289711153
201505,China Southern,CZ,China Southern,CZ,International,Asia,Deplaned,Cargo,Passenger,205.42280016708787,26.015574815999994,214.40930889891385
201705,Etihad Airways,EY,Etihad Airways,EY,International,Middle East,Enplaned,Cargo,Passenger,128.06808199939474,54.42556341600005,158.40668331031554
200610,Federal Express,FX,Federal Express,FX,Domestic,US,Enplaned,Cargo,Freighter,2006.626056827795,3629.227127609998,3236.5400273881432
201812,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Mail,Passenger,70.0857028466462,545.2915114080008,167.83402027224443
201503,Air Cargo Carriers,2Q,Air Cargo Carriers,2Q,Domestic,US,Deplaned,Express,Freighter,54.38626982654341,42.97836866399998,185.27092220950735
201303,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Express,Passenger,100.94577918246091,0.09143215199999995,79.00268958467296
200911,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Enplaned,Mail,Passenger,-131.27983067491118,4.992503040000006,71.9476597106012
200708,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Mail,Freighter,191.45104071665378,46.23532552799995,74.84842552051867
201812,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Mail,Passenger,72.23136145138574,20.926636415999987,60.053560676892275
201612,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Mail,Passenger,70.60529945020653,77.60539886400005,60.053560676892275
201006,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Cargo,Passenger,174.3141671383221,13.28949568799999,85.83972983446445
201412,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Cargo,Passenger,262.6156793173802,50.702455439999966,128.40180707871926
200601,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Enplaned,Mail,Passenger,-477.62605446905127,24.632829647999984,-63.93821379699774
202009,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Deplaned,Cargo,Passenger,183.92529481909628,138.1778092800001,224.19287040839703
200811,Northwest Airlines (became Delta),NW,Northwest Airlines (became Delta),NW,International,Asia,Enplaned,Mail,Passenger,3.2097213748556896,39.794024088000015,36.153280376025414
200811,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Mail,Freighter,142.3586892440528,24.848992727999995,74.84842552051867
200908,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Cargo,Passenger,219.45499727409174,74.55106512000002,188.49965567653405
200811,Federal Express,FX,Federal Express,FX,Domestic,US,Deplaned,Cargo,Freighter,2031.9966342846108,3560.5826015900006,3105.7494974553424
201605,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Mail,Passenger,115.23113236038489,38.98420747199999,47.08382475109784
201912,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Express,Passenger,-34.73020029868826,2.282007168000004,-36.828591912363095
201402,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Mail,Freighter,138.7226470900041,9.834043464000008,74.84842552051867
202001,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Express,Passenger,494.90017156173894,13.344018407999995,373.42516753168053
201103,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Express,Passenger,-108.209701823572,0.5549160960000001,40.99227978195202
200706,Kitty Hawk Air Cargo,KR,Kitty Hawk Air Cargo,KR,Domestic,US,Enplaned,Cargo,Freighter,314.2388459942524,190.01419668000003,419.7692709048256
200508,Icelandair (Inactive),FI,Icelandair (Inactive),FI,International,Europe,Deplaned,Cargo,Passenger,22.654508156388374,19.02768537599997,188.49965567653405
201407,ABX Air,GB,ABX Air,GB,Domestic,US,Deplaned,Cargo,Freighter,785.9945686453423,1129.916892542,672.6575800214579
202003,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Cargo,Passenger,300.1094635409561,862.8461846059992,242.20683231942527
201203,US Airways,US,US Airways,US,Domestic,US,Enplaned,Cargo,Passenger,184.24598348401378,56.65014028800001,200.29259010753015
201007,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Mail,Passenger,40.09133506950525,85.37300855999996,38.66551347351178
201608,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Express,Passenger,470.71084637831973,44.468458272000014,368.1542081631786
201707,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Mail,Passenger,-51.13715798439944,24.050321063999974,60.053560676892275
201611,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Cargo,Passenger,296.3513001599049,187.07821624800033,227.265092369445
201908,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Enplaned,Cargo,Passenger,157.93948180321968,369.7242615359997,221.68063731091064
201711,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Deplaned,Cargo,Passenger,253.09783679849807,464.89248086399994,209.88770287991454
200911,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Enplaned,Cargo,Passenger,83.51240608105081,5.415652872000006,146.18663937138012
200902,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Mail,Freighter,115.19162395477974,72.04465295999992,72.3361924230323
202005,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,International,Asia,Enplaned,Cargo,Freighter,1392.4478025559845,573.0365904480002,715.4791802170673
201611,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Cargo,Passenger,280.03055607719807,208.7562864239998,224.7528592719586
201607,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Mail,Passenger,70.63606122815963,67.90958546399989,57.29483440587669
201512,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Express,Passenger,99.65993686402408,0.09042969599999998,69.38589274425584
201002,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Enplaned,Cargo,Passenger,59.51487604407316,8.35690413599999,104.31790871981575
201807,Air China,CA,Air China,CA,International,Asia,Enplaned,Cargo,Passenger,217.11891321946746,198.13953348000007,224.7528592719586
202004,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Cargo,Passenger,285.5806857382686,70.56247867200005,139.87907456785157
200802,US Airways,US,US Airways,US,Domestic,US,Enplaned,Mail,Passenger,-49.313227126081756,115.92500068799991,100.62125314956153
200903,China Cargo Airlines,CK,China Cargo Airlines,CK,International,Asia,Deplaned,Cargo,Freighter,232.30876709272252,154.59359781600014,413.24671397372407
201508,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Deplaned,Cargo,Passenger,106.44665072398652,11.938334688000005,157.23113620171586
200811,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Cargo,Passenger,292.92044595786297,60.47415158399998,122.38177644335632
201109,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Mail,Passenger,101.01800975737092,84.45640089599993,148.95820616635032
200809,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Mail,Passenger,48.938440058936294,12.838159151999989,36.153280376025414
201601,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Cargo,Passenger,447.9337959068166,215.93438395200016,266.30273011122557
